epsilon,mean_clusters,std_clusters,min_clusters,max_clusters
0.05,5.0,0.0,5,5
0.1,5.0,0.0,5,5
0.15,5.0,0.0,5,5
0.2,5.0,0.0,5,5
0.25,5.0,0.0,5,5
0.3,4.45,1.116915395184434,3,7
0.35,4.0,1.5491933384829668,2,8
0.4,3.35,0.7921489758877429,2,5
0.45,3.15,0.852936105461599,1,5
0.5,2.0,0.7745966692414834,1,3
0.55,1.65,0.4769696007084729,1,2
0.6,1.3,0.45825756949558394,1,2
